Дата,Код літерний,"Офіційний курс гривні, грн"
"01,10,2019",EUR,"26,348629"
"02,10,2019",EUR,"26,760368"
"03,10,2019",EUR,"27,159298"
"04,10,2019",EUR,"27,242936"
"05,10,2019",EUR,"27,242936"
"06,10,2019",EUR,"27,242936"
"07,10,2019",EUR,"27,021318"
"08,10,2019",EUR,"27,336918"
"09,10,2019",EUR,"27,143133"
"10,10,2019",EUR,"27,124169"
"11,10,2019",EUR,"27,057218"
"12,10,2019",EUR,"27,057218"
"13,10,2019",EUR,"27,057218"
"14,10,2019",EUR,"27,057218"
"15,10,2019",EUR,"27,097355"
"16,10,2019",EUR,"27,281685"
"17,10,2019",EUR,"27,380857"
"18,10,2019",EUR,"27,48673"
"19,10,2019",EUR,"27,48673"
"20,10,2019",EUR,"27,48673"
"21,10,2019",EUR,"27,899083"
"22,10,2019",EUR,"27,904742"
"23,10,2019",EUR,"27,652072"
"24,10,2019",EUR,"27,68796"
"25,10,2019",EUR,"27,946984"
"26,10,2019",EUR,"27,946984"
"27,10,2019",EUR,"27,946984"
"28,10,2019",EUR,"27,960891"
"29,10,2019",EUR,"27,791943"
"30,10,2019",EUR,"27,863767"
"31,10,2019",EUR,"27,759915"
"01,11,2019",EUR,"27,683212"
"02,11,2019",EUR,"27,683212"
"03,11,2019",EUR,"27,683212"
"04,11,2019",EUR,"27,555819"
"05,11,2019",EUR,"27,669632"
"06,11,2019",EUR,"27,460856"
"07,11,2019",EUR,"27,345292"
"08,11,2019",EUR,"27,156169"
"09,11,2019",EUR,"27,156169"
"10,11,2019",EUR,"27,156169"
"11,11,2019",EUR,"27,035382"
"12,11,2019",EUR,"27,062615"
"13,11,2019",EUR,"26,944778"
"14,11,2019",EUR,"26,761736"
"15,11,2019",EUR,"26,662225"
"16,11,2019",EUR,"26,662225"
"17,11,2019",EUR,"26,662225"
"18,11,2019",EUR,"26,724494"
"19,11,2019",EUR,"26,698133"
"20,11,2019",EUR,"26,810691"
"21,11,2019",EUR,"26,744647"
"22,11,2019",EUR,"26,83322"
"23,11,2019",EUR,"26,83322"
"24,11,2019",EUR,"26,83322"
"25,11,2019",EUR,"26,720841"
"26,11,2019",EUR,"26,478424"
"27,11,2019",EUR,"26,428938"
"28,11,2019",EUR,"26,404416"
"29,11,2019",EUR,"26,45115"
"30,11,2019",EUR,"26,45115"
"01,12,2019",EUR,"26,45115"
"02,12,2019",EUR,"26,326354"
"03,12,2019",EUR,"26,408191"
"04,12,2019",EUR,"26,503106"
"05,12,2019",EUR,"26,517145"
"06,12,2019",EUR,"26,489182"
"07,12,2019",EUR,"26,489182"
"08,12,2019",EUR,"26,489182"
"09,12,2019",EUR,"26,320281"
"10,12,2019",EUR,"26,235026"
"11,12,2019",EUR,"26,24053"
"12,12,2019",EUR,"26,140927"
"13,12,2019",EUR,"26,24242"
"14,12,2019",EUR,"26,24242"
"15,12,2019",EUR,"26,24242"
"16,12,2019",EUR,"26,256661"
"17,12,2019",EUR,"26,182373"
"18,12,2019",EUR,"26,196245"
"19,12,2019",EUR,"26,023645"
"20,12,2019",EUR,"25,984934"
"21,12,2019",EUR,"25,884068"
"22,12,2019",EUR,"25,884068"
"23,12,2019",EUR,"25,846272"
"24,12,2019",EUR,"25,777911"
"25,12,2019",EUR,"25,777911"
"26,12,2019",EUR,"25,766712"
"27,12,2019",EUR,"25,808517"
"28,12,2019",EUR,"26,422"
"29,12,2019",EUR,"26,422"
"30,12,2019",EUR,"26,422"
"31,12,2019",EUR,"26,422"
"01,10,2019",USD,"24,197474"
"02,10,2019",USD,"24,555302"
"03,10,2019",USD,"24,859769"
"04,10,2019",USD,"24,877122"
"05,10,2019",USD,"24,877122"
"06,10,2019",USD,"24,877122"
"07,10,2019",USD,"24,611821"
"08,10,2019",USD,"24,867568"
"09,10,2019",USD,"24,707021"
"10,10,2019",USD,"24,701001"
"11,10,2019",USD,"24,530569"
"12,10,2019",USD,"24,530569"
"13,10,2019",USD,"24,530569"
"14,10,2019",USD,"24,530569"
"15,10,2019",USD,"24,538038"
"16,10,2019",USD,"24,785759"
"17,10,2019",USD,"24,835244"
"18,10,2019",USD,"24,733852"
"19,10,2019",USD,"24,733852"
